order_id,sku,name,quantity,unit_price,line_total
23518,ZCPTM-SS-M-B0,Premium Mens SS Top Medium Black/Orange,2,59.18,118.36
23518,ZCESM-AS-M-RR,Elite Mens Shorts Medium Deep Red/Red,3,66.51,199.53
23544,ZCETM-LS-L-RR,Elite Mens LS Tee Large Deep Red/Red,1,74.83,74.83
23544,ZCEPM-AP-L-B0,Elite Mens Pants Large Black/Orange,3,99.65,298.95
23561,ZCRTW-SS-S-CS,Pro Womens SS Top Small Charcoal/Silver,1,47.06,47.06
23575,ZCCTY-SS-M-B0,Core Youth SS Top Medium Black/Orange,2,30.87,61.74
23575,ZCPSW-AS-L-CS,Premium Womens Shorts Large Charcoal/Silver,1,53.46,53.46
23590,ZCPTM-SS-L-B0,Premium Mens SS Top Large Black/Orange,2,61.5,123.0
23590,ZCPPY-AP-S-CS,Premium Youth Pants Small Charcoal/Silver,3,66.53,199.59
23600,ZCCTW-SS-M-B0,Core Womens SS Top Medium Black/Orange,3,34.9,104.7
23600,ZCEPY-AP-L-T0,Elite Youth Pants Large Teal/Orange,1,82.77,82.77
23601,ZCESM-AS-L-B0,Elite Mens Shorts Large Black/Orange,3,68.14,204.42
23601,ZCPTW-LS-S-T0,Premium Womens LS Top Small Teal/Orange,2,64.06,128.12
23601,ZCESY-AS-XL-B0,Elite Youth Shorts XL Black/Orange,1,55.38,55.38
23602,ZCETW-SS-L-B0,Elite Womens SS Tee Large Black/Orange,3,76.6,229.8
23602,ZCPSY-AS-S-B0,Premium Youth Shorts Small Black/Orange,2,42.8,85.6
23603,ZCETY-LS-XL-RR,Elite Youth LS Tee XL Deep Red/Red,1,63.0,63.0
23603,ZCRPY-AP-L-CS,Pro Youth Pants Large Charcoal/Silver,3,53.34,160.02
23604,ZCRPM-AP-L-B0,Pro Mens Pants Large Black/Orange,3,60.57,181.71
23605,ZCPSY-AS-L-RR,Premium Youth Shorts Large Deep Red/Red,3,43.02,129.06
23605,ZCRPW-AP-S-T0,Pro Womens Pants Small Teal/Orange,1,61.02,61.02
23606,ZCEPW-AP-XL-CS,Elite Womens Pants XL Charcoal/Silver,1,104.29,104.29
23606,ZCETM-LS-L-T0,Elite Mens LS Tee Large Teal/Orange,3,78.99,236.97
23606,ZCCTY-LS-S-T0,Core Youth LS Top Small Teal/Orange,3,30.69,92.07
23607,ZCCTY-LS-XL-T0,Core Youth LS Top XL Teal/Orange,2,30.94,61.88
23607,ZCRSY-AS-XL-B0,Pro Youth Shorts XL Black/Orange,2,34.98,69.96
23607,ZCETW-LS-S-T0,Elite Womens LS Tee Small Teal/Orange,2,74.87,149.74
23608,ZCPSW-AS-S-RR,Premium Womens Shorts Small Deep Red/Red,3,53.23,159.69
23609,ZCRPY-AP-S-CS,Pro Youth Pants Small Charcoal/Silver,3,51.51,154.53
23609,ZCPPM-AP-S-CS,Premium Mens Pants Small Charcoal/Silver,1,73.09,73.09
23610,ZCCTY-SS-L-CS,Core Youth SS Top Large Charcoal/Silver,1,29.94,29.94
23610,ZCCPM-AP-XL-CS,Core Mens Pants XL Charcoal/Silver,3,45.35,136.05
23610,ZCRTM-LS-M-RR,Pro Mens LS Top Medium Deep Red/Red,3,48.42,145.26
23611,ZCCTM-LS-M-RR,Core Mens LS Top Medium Deep Red/Red,2,36.67,73.34
23611,ZCRPW-AP-L-B0,Pro Womens Pants Large Black/Orange,2,56.03,112.06
23611,ZCPTY-SS-S-CS,Premium Youth SS Top Small Charcoal/Silver,1,48.95,48.95
23612,ZCEPW-AP-S-T0,Elite Womens Pants Small Teal/Orange,2,99.98,199.96
23612,ZCRTM-LS-S-RR,Pro Mens LS Top Small Deep Red/Red,1,47.29,47.29
23613,ZCETW-LS-S-RR,Elite Womens LS Tee Small Deep Red/Red,1,79.91,79.91
23614,ZCEPM-AP-S-CS,Elite Mens Pants Small Charcoal/Silver,3,102.07,306.21
23614,ZCCSW-AS-S-RR,Core Womens Shorts Small Deep Red/Red,2,29.1,58.2
23614,ZCRSY-AS-S-B0,Pro Youth Shorts Small Black/Orange,1,33.79,33.79
23615,ZCESY-AS-XL-T0,Elite Youth Shorts XL Teal/Orange,2,54.9,109.8
23616,ZCRSW-AS-S-RR,Pro Womens Shorts Small Deep Red/Red,2,37.87,75.74
