sku,product_line,line_code,garment,gender,cut,size,size_label,color_code,color_name,name,channel,unit_cost,unit_price,active
ZCCTM-SS-S-B0,ZavaCore Field Core,C,Top,Mens,SS,S,Small,B0,Black/Orange,Core Mens SS Top Small Black/Orange,B2C,14.19,33.79,true
ZCCTM-SS-S-CS,ZavaCore Field Core,C,Top,Mens,SS,S,Small,CS,Charcoal/Silver,Core Mens SS Top Small Charcoal/Silver,B2C,15.78,37.58,true
ZCCTM-LS-S-RR,ZavaCore Field Core,C,Top,Mens,LS,S,Small,RR,Deep Red/Red,Core Mens LS Top Small Deep Red/Red,B2C,15.65,37.27,true
ZCCTM-LS-S-T0,ZavaCore Field Core,C,Top,Mens,LS,S,Small,T0,Teal/Orange,Core Mens LS Top Small Teal/Orange,B2C,15.15,36.08,true
ZCCTM-SS-M-B0,ZavaCore Field Core,C,Top,Mens,SS,M,Medium,B0,Black/Orange,Core Mens SS Top Medium Black/Orange,B2C,15.46,36.81,true
ZCCTM-SS-M-CS,ZavaCore Field Core,C,Top,Mens,SS,M,Medium,CS,Charcoal/Silver,Core Mens SS Top Medium Charcoal/Silver,B2C,15.57,37.08,true
ZCCTM-LS-M-RR,ZavaCore Field Core,C,Top,Mens,LS,M,Medium,RR,Deep Red/Red,Core Mens LS Top Medium Deep Red/Red,B2C,15.4,36.67,true
ZCCTM-LS-M-T0,ZavaCore Field Core,C,Top,Mens,LS,M,Medium,T0,Teal/Orange,Core Mens LS Top Medium Teal/Orange,B2C,14.81,35.26,true
ZCCTM-SS-L-B0,ZavaCore Field Core,C,Top,Mens,SS,L,Large,B0,Black/Orange,Core Mens SS Top Large Black/Orange,B2C,15.14,36.04,true
ZCCTM-SS-L-CS,ZavaCore Field Core,C,Top,Mens,SS,L,Large,CS,Charcoal/Silver,Core Mens SS Top Large Charcoal/Silver,B2C,14.52,34.56,true
ZCCTM-LS-L-RR,ZavaCore Field Core,C,Top,Mens,LS,L,Large,RR,Deep Red/Red,Core Mens LS Top Large Deep Red/Red,B2C,14.83,35.3,true
ZCCTM-LS-L-T0,ZavaCore Field Core,C,Top,Mens,LS,L,Large,T0,Teal/Orange,Core Mens LS Top Large Teal/Orange,B2C,15.26,36.34,true
ZCCTM-SS-XL-B0,ZavaCore Field Core,C,Top,Mens,SS,XL,XL,B0,Black/Orange,Core Mens SS Top XL Black/Orange,B2C,14.73,35.06,true
ZCCTM-SS-XL-CS,ZavaCore Field Core,C,Top,Mens,SS,XL,XL,CS,Charcoal/Silver,Core Mens SS Top XL Charcoal/Silver,B2C,15.84,37.71,true
ZCCTM-LS-XL-RR,ZavaCore Field Core,C,Top,Mens,LS,XL,XL,RR,Deep Red/Red,Core Mens LS Top XL Deep Red/Red,B2C,15.5,36.91,true
ZCCTM-LS-XL-T0,ZavaCore Field Core,C,Top,Mens,LS,XL,XL,T0,Teal/Orange,Core Mens LS Top XL Teal/Orange,B2C,15.18,36.15,true
ZCCTW-SS-S-B0,ZavaCore Field Core,C,Top,Womens,SS,S,Small,B0,Black/Orange,Core Womens SS Top Small Black/Orange,B2C,14.14,33.66,true
ZCCTW-SS-S-CS,ZavaCore Field Core,C,Top,Womens,SS,S,Small,CS,Charcoal/Silver,Core Womens SS Top Small Charcoal/Silver,B2C,14.52,34.58,true
