sale_id,sale_date,channel,store_code,sku,product_line,garment,gender,quantity,unit_price,discount_pct,revenue
SL-000001,2025-08-19,online,,ZCCSY-AS-XL-CS,ZavaCore Field Core,Shorts,Youth,2,24.87,0,49.74
SL-000002,2025-08-19,store,ST-AUS,ZCRTY-SS-S-B0,ZavaCore Field Pro,Top,Youth,4,40.86,0,163.44
SL-000003,2025-08-19,store,ST-CHI,ZCPSM-AS-L-B0,ZavaCore Field Premium,Shorts,Mens,3,48.84,0,146.52
SL-000004,2025-08-19,online,,ZCPTW-LS-S-RR,ZavaCore Field Premium,Top,Womens,2,57.23,0,114.46
SL-000005,2025-08-19,online,,ZCCTM-LS-S-T0,ZavaCore Field Core,Top,Mens,1,36.08,0,36.08
SL-000006,2025-08-19,online,,ZCRSW-AS-XL-CS,ZavaCore Field Pro,Shorts,Womens,3,39.66,0,118.98
SL-000007,2025-08-19,online,,ZCCPM-AP-L-CS,ZavaCore Field Core,Pants,Mens,4,44.76,0,179.04
SL-000008,2025-08-19,online,,ZCCPY-AP-S-RR,ZavaCore Field Core,Pants,Youth,5,39.26,0,196.3
SL-000009,2025-08-19,store,ST-MIA,ZCCTY-LS-L-RR,ZavaCore Field Core,Top,Youth,3,31.48,0,94.44
SL-000010,2025-08-19,store,ST-CHI,ZCCPY-AP-M-T0,ZavaCore Field Core,Pants,Youth,2,38.4,0.1,69.12
SL-000011,2025-08-19,online,,ZCCPY-AP-M-RR,ZavaCore Field Core,Pants,Youth,1,40.65,0,40.65
SL-000012,2025-08-20,store,ST-AUS,ZCCTY-SS-M-CS,ZavaCore Field Core,Top,Youth,1,29.23,0,29.23
SL-000013,2025-08-20,store,ST-CHI,ZCPSM-AS-L-B0,ZavaCore Field Premium,Shorts,Mens,5,48.84,0.2,195.36
SL-000014,2025-08-20,online,,ZCRPY-AP-M-RR,ZavaCore Field Pro,Pants,Youth,3,50.72,0.1,136.94
SL-000015,2025-08-20,online,,ZCPTW-SS-L-B0,ZavaCore Field Premium,Top,Womens,5,62.4,0.2,249.6
SL-000016,2025-08-20,online,,ZCCPM-AP-M-T0,ZavaCore Field Core,Pants,Mens,1,45.87,0.1,41.28
SL-000017,2025-08-20,online,,ZCRSM-AS-S-CS,ZavaCore Field Pro,Shorts,Mens,4,41.87,0.1,150.73
SL-000018,2025-08-20,store,ST-AUS,ZCCSY-AS-XL-CS,ZavaCore Field Core,Shorts,Youth,5,24.87,0,124.35
SL-000019,2025-08-21,online,,ZCPSM-AS-M-T0,ZavaCore Field Premium,Shorts,Mens,3,48.72,0,146.16
SL-000020,2025-08-21,online,,ZCCSM-AS-XL-T0,ZavaCore Field Core,Shorts,Mens,2,29.47,0.2,47.15
SL-000021,2025-08-21,store,ST-MIA,ZCRTY-LS-M-T0,ZavaCore Field Pro,Top,Youth,1,40.3,0.1,36.27
SL-000022,2025-08-21,online,,ZCCTY-LS-M-T0,ZavaCore Field Core,Top,Youth,5,30.38,0,151.9
SL-000023,2025-08-21,online,,ZCPTY-LS-XL-T0,ZavaCore Field Premium,Top,Youth,5,52.52,0.1,236.34
SL-000024,2025-08-21,online,,ZCPSY-AS-XL-CS,ZavaCore Field Premium,Shorts,Youth,1,44.26,0.1,39.83
SL-000025,2025-08-21,online,,ZCRTW-LS-M-T0,ZavaCore Field Pro,Top,Womens,1,46.44,0.2,37.15
SL-000026,2025-08-21,online,,ZCETW-LS-M-RR,ZavaCore Field Elite,Top,Womens,5,75.94,0,379.7
SL-000027,2025-08-22,online,,ZCCTM-SS-L-CS,ZavaCore Field Core,Top,Mens,5,34.56,0,172.8
SL-000028,2025-08-22,store,ST-AUS,ZCPSY-AS-S-RR,ZavaCore Field Premium,Shorts,Youth,5,44.12,0,220.6
SL-000029,2025-08-22,online,,ZCPPW-AP-XL-T0,ZavaCore Field Premium,Pants,Womens,1,81.32,0.2,65.06
SL-000030,2025-08-22,online,,ZCCTW-LS-L-RR,ZavaCore Field Core,Top,Womens,1,37.09,0.2,29.67
SL-000031,2025-08-22,store,ST-CHI,ZCCPM-AP-L-CS,ZavaCore Field Core,Pants,Mens,5,44.76,0,223.8
SL-000032,2025-08-22,store,ST-AUS,ZCRSW-AS-L-T0,ZavaCore Field Pro,Shorts,Womens,4,39.78,0.1,143.21
SL-000033,2025-08-22,online,,ZCESM-AS-L-T0,ZavaCore Field Elite,Shorts,Mens,5,66.51,0,332.55
SL-000034,2025-08-22,online,,ZCCPM-AP-S-T0,ZavaCore Field Core,Pants,Mens,3,44.03,0,132.09
SL-000035,2025-08-22,online,,ZCESM-AS-M-RR,ZavaCore Field Elite,Shorts,Mens,1,66.51,0,66.51
SL-000036,2025-08-22,online,,ZCETY-SS-L-B0,ZavaCore Field Elite,Top,Youth,3,67.24,0.2,161.38
SL-000037,2025-08-22,online,,ZCRSY-AS-S-CS,ZavaCore Field Pro,Shorts,Youth,4,34.12,0.2,109.18
SL-000038,2025-08-22,online,,ZCCSW-AS-S-CS,ZavaCore Field Core,Shorts,Womens,5,32.23,0.1,145.03
SL-000039,2025-08-22,online,,ZCRTM-LS-L-RR,ZavaCore Field Pro,Top,Mens,3,45.11,0.1,121.8
SL-000040,2025-08-22,online,,ZCPPY-AP-S-CS,ZavaCore Field Premium,Pants,Youth,4,66.53,0,266.12
SL-000041,2025-08-23,online,,ZCCTW-SS-M-CS,ZavaCore Field Core,Top,Womens,2,33.66,0.2,53.86
SL-000042,2025-08-23,online,,ZCEPY-AP-XL-RR,ZavaCore Field Elite,Pants,Youth,5,84.43,0.2,337.72
SL-000043,2025-08-23,store,ST-MIA,ZCCTM-SS-XL-CS,ZavaCore Field Core,Top,Mens,3,37.71,0,113.13
SL-000044,2025-08-23,online,,ZCPPY-AP-L-RR,ZavaCore Field Premium,Pants,Youth,3,62.49,0.2,149.98
SL-000045,2025-08-23,online,,ZCETY-SS-XL-B0,ZavaCore Field Elite,Top,Youth,3,65.09,0.2,156.22
SL-000046,2025-08-23,store,ST-AUS,ZCCTW-SS-L-CS,ZavaCore Field Core,Top,Womens,2,37.42,0,74.84
SL-000047,2025-08-23,online,,ZCPPY-AP-S-CS,ZavaCore Field Premium,Pants,Youth,2,66.53,0,133.06
SL-000048,2025-08-23,store,ST-MIA,ZCCSM-AS-M-CS,ZavaCore Field Core,Shorts,Mens,5,30.21,0.2,120.84
SL-000049,2025-08-23,online,,ZCRPM-AP-S-T0,ZavaCore Field Pro,Pants,Mens,5,57.25,0,286.25
SL-000050,2025-08-23,store,ST-AUS,ZCRPW-AP-M-RR,ZavaCore Field Pro,Pants,Womens,4,59.5,0,238.0
SL-000051,2025-08-23,online,,ZCRSY-AS-S-B0,ZavaCore Field Pro,Shorts,Youth,2,33.79,0.1,60.82
SL-000052,2025-08-23,online,,ZCRSY-AS-L-B0,ZavaCore Field Pro,Shorts,Youth,5,32.56,0.2,130.24
SL-000053,2025-08-23,online,,ZCESW-AS-L-RR,ZavaCore Field Elite,Shorts,Womens,1,66.09,0,66.09
SL-000054,2025-08-23,store,ST-MIA,ZCETW-LS-L-T0,ZavaCore Field Elite,Top,Womens,3,81.39,0,244.17
SL-000055,2025-08-24,online,,ZCESW-AS-S-T0,ZavaCore Field Elite,Shorts,Womens,5,62.96,0,314.8
SL-000056,2025-08-24,store,ST-CHI,ZCPSW-AS-L-RR,ZavaCore Field Premium,Shorts,Womens,2,53.19,0.2,85.1
SL-000057,2025-08-24,store,ST-CHI,ZCCSM-AS-M-B0,ZavaCore Field Core,Shorts,Mens,4,30.28,0,121.12
SL-000058,2025-08-24,online,,ZCESW-AS-L-CS,ZavaCore Field Elite,Shorts,Womens,3,67.86,0,203.58
SL-000059,2025-08-24,online,,ZCEPY-AP-XL-CS,ZavaCore Field Elite,Pants,Youth,2,83.93,0,167.86
SL-000060,2025-08-24,store,ST-MIA,ZCPPM-AP-M-B0,ZavaCore Field Premium,Pants,Mens,4,82.22,0,328.88
SL-000061,2025-08-24,online,,ZCRSW-AS-M-CS,ZavaCore Field Pro,Shorts,Womens,1,38.01,0,38.01
SL-000062,2025-08-24,online,,ZCRTM-SS-XL-B0,ZavaCore Field Pro,Top,Mens,1,44.39,0,44.39
SL-000063,2025-08-24,online,,ZCCPY-AP-M-RR,ZavaCore Field Core,Pants,Youth,1,40.65,0,40.65
SL-000064,2025-08-24,online,,ZCPPY-AP-L-CS,ZavaCore Field Premium,Pants,Youth,3,66.21,0,198.63
SL-000065,2025-08-24,online,,ZCEPM-AP-L-T0,ZavaCore Field Elite,Pants,Mens,4,95.55,0,382.2
SL-000066,2025-08-24,online,,ZCPTY-SS-S-CS,ZavaCore Field Premium,Top,Youth,2,48.95,0.2,78.32
SL-000067,2025-08-24,online,,ZCRSM-AS-M-CS,ZavaCore Field Pro,Shorts,Mens,3,40.76,0,122.28
SL-000068,2025-08-24,online,,ZCPSY-AS-S-CS,ZavaCore Field Premium,Shorts,Youth,3,43.43,0.2,104.23
SL-000069,2025-08-25,online,,ZCCTM-SS-L-CS,ZavaCore Field Core,Top,Mens,5,34.56,0,172.8
SL-000070,2025-08-25,online,,ZCETY-SS-M-B0,ZavaCore Field Elite,Top,Youth,2,62.89,0,125.78
SL-000071,2025-08-25,store,ST-AUS,ZCETY-SS-M-B0,ZavaCore Field Elite,Top,Youth,5,62.89,0.2,251.56
SL-000072,2025-08-25,online,,ZCETM-LS-S-T0,ZavaCore Field Elite,Top,Mens,2,79.66,0,159.32
SL-000073,2025-08-25,online,,ZCPTY-LS-XL-RR,ZavaCore Field Premium,Top,Youth,3,52.6,0,157.8
SL-000074,2025-08-25,online,,ZCETW-LS-S-T0,ZavaCore Field Elite,Top,Womens,2,74.87,0.2,119.79
SL-000075,2025-08-25,store,ST-AUS,ZCPTW-LS-L-T0,ZavaCore Field Premium,Top,Womens,3,64.1,0,192.3
SL-000076,2025-08-25,online,,ZCPPY-AP-L-T0,ZavaCore Field Premium,Pants,Youth,1,69.69,0.2,55.75
SL-000077,2025-08-25,online,,ZCPPY-AP-M-T0,ZavaCore Field Premium,Pants,Youth,4,63.84,0,255.36
SL-000078,2025-08-25,online,,ZCRSM-AS-L-T0,ZavaCore Field Pro,Shorts,Mens,5,39.78,0,198.9
SL-000079,2025-08-25,store,ST-CHI,ZCPSM-AS-M-CS,ZavaCore Field Premium,Shorts,Mens,5,49.48,0.2,197.92
