sku,facility_code,on_hand,reserved,available,reorder_point,safety_stock,projected_stockout_days,status,bin_location
ZCCTM-SS-S-B0,FC-MEM,405,56,349,120,48,45,in stock,MEM-13-A
ZCCTM-SS-S-B0,FC-CLT,196,17,179,120,48,21,in stock,CLT-41-E
ZCCTM-SS-S-B0,FC-SEA,74,11,63,120,48,8,low stock,SEA-04-A
ZCCTM-SS-S-B0,FC-DFW,413,52,361,120,48,45,in stock,DFW-53-D
ZCCTM-SS-S-B0,FC-EWR,445,18,427,120,48,49,in stock,EWR-51-A
ZCCTM-SS-S-B0,FC-RNO,519,12,507,120,48,57,in stock,RNO-51-B
ZCCTM-SS-S-B0,FC-CMH,258,29,229,120,48,28,in stock,CMH-34-E
ZCCTM-SS-S-CS,FC-MEM,28,1,27,40,16,9,low stock,MEM-49-F
ZCCTM-SS-S-CS,FC-CLT,66,3,63,40,16,22,in stock,CLT-30-D
ZCCTM-SS-S-CS,FC-SEA,6,0,6,40,16,2,critical,SEA-55-A
ZCCTM-SS-S-CS,FC-DFW,63,4,59,40,16,21,in stock,DFW-36-B
ZCCTM-SS-S-CS,FC-EWR,24,0,24,40,16,8,low stock,EWR-20-E
ZCCTM-SS-S-CS,FC-RNO,179,2,177,40,16,59,in stock,RNO-45-B
ZCCTM-SS-S-CS,FC-CMH,129,4,125,40,16,43,in stock,CMH-11-B
ZCCTM-LS-S-RR,FC-MEM,56,1,55,120,48,6,low stock,MEM-25-C
ZCCTM-LS-S-RR,FC-CLT,361,23,338,120,48,40,in stock,CLT-13-B
ZCCTM-LS-S-RR,FC-SEA,600,46,554,120,48,66,in stock,SEA-31-A
ZCCTM-LS-S-RR,FC-DFW,424,17,407,120,48,47,in stock,DFW-40-C
ZCCTM-LS-S-RR,FC-EWR,528,68,460,120,48,58,in stock,EWR-04-E
ZCCTM-LS-S-RR,FC-RNO,598,28,570,120,48,66,in stock,RNO-47-C
ZCCTM-LS-S-RR,FC-CMH,591,4,587,120,48,65,in stock,CMH-59-C
ZCCTM-LS-S-T0,FC-MEM,78,6,72,100,40,11,low stock,MEM-57-F
ZCCTM-LS-S-T0,FC-CLT,59,1,58,100,40,8,low stock,CLT-17-F
ZCCTM-LS-S-T0,FC-SEA,136,15,121,100,40,19,in stock,SEA-21-C
ZCCTM-LS-S-T0,FC-DFW,459,6,453,100,40,65,in stock,DFW-60-A
ZCCTM-LS-S-T0,FC-EWR,322,5,317,100,40,46,in stock,EWR-57-B
ZCCTM-LS-S-T0,FC-RNO,376,0,376,100,40,53,in stock,RNO-02-C
ZCCTM-LS-S-T0,FC-CMH,60,1,59,100,40,8,low stock,CMH-17-D
ZCCTM-SS-M-B0,FC-MEM,549,52,497,120,48,61,in stock,MEM-44-C
ZCCTM-SS-M-B0,FC-CLT,435,28,407,120,48,48,in stock,CLT-03-C
ZCCTM-SS-M-B0,FC-SEA,414,63,351,120,48,46,in stock,SEA-60-F
ZCCTM-SS-M-B0,FC-DFW,339,3,336,120,48,37,in stock,DFW-41-F
ZCCTM-SS-M-B0,FC-EWR,305,12,293,120,48,33,in stock,EWR-35-C
ZCCTM-SS-M-B0,FC-RNO,388,44,344,120,48,43,in stock,RNO-52-D
ZCCTM-SS-M-B0,FC-CMH,510,10,500,120,48,56,in stock,CMH-41-F
ZCCTM-SS-M-CS,FC-MEM,110,13,97,100,40,15,in stock,MEM-30-F
ZCCTM-SS-M-CS,FC-CLT,19,0,19,100,40,2,critical,CLT-31-B
ZCCTM-SS-M-CS,FC-SEA,342,25,317,100,40,48,in stock,SEA-08-F
ZCCTM-SS-M-CS,FC-DFW,282,7,275,100,40,40,in stock,DFW-17-A
ZCCTM-SS-M-CS,FC-EWR,215,13,202,100,40,30,in stock,EWR-18-B
ZCCTM-SS-M-CS,FC-RNO,450,1,449,100,40,64,in stock,RNO-08-A
ZCCTM-SS-M-CS,FC-CMH,370,30,340,100,40,52,in stock,CMH-23-B
ZCCTM-LS-M-RR,FC-MEM,530,82,448,120,48,58,in stock,MEM-09-B
ZCCTM-LS-M-RR,FC-CLT,274,11,263,120,48,30,in stock,CLT-20-D
ZCCTM-LS-M-RR,FC-SEA,540,55,485,120,48,60,in stock,SEA-36-D
ZCCTM-LS-M-RR,FC-DFW,74,6,68,120,48,8,low stock,DFW-55-C
ZCCTM-LS-M-RR,FC-EWR,431,69,362,120,48,47,in stock,EWR-48-E
ZCCTM-LS-M-RR,FC-RNO,480,62,418,120,48,53,in stock,RNO-17-C
ZCCTM-LS-M-RR,FC-CMH,242,21,221,120,48,26,in stock,CMH-36-A
ZCCTM-LS-M-T0,FC-MEM,108,5,103,40,16,36,in stock,MEM-06-D
ZCCTM-LS-M-T0,FC-CLT,22,2,20,40,16,7,low stock,CLT-40-D
ZCCTM-LS-M-T0,FC-SEA,156,1,155,40,16,52,in stock,SEA-18-F
ZCCTM-LS-M-T0,FC-DFW,114,2,112,40,16,38,in stock,DFW-41-A
ZCCTM-LS-M-T0,FC-EWR,158,10,148,40,16,52,in stock,EWR-45-A
ZCCTM-LS-M-T0,FC-RNO,174,16,158,40,16,58,in stock,RNO-28-F
ZCCTM-LS-M-T0,FC-CMH,63,1,62,40,16,21,in stock,CMH-45-F
ZCCTM-SS-L-B0,FC-MEM,54,8,46,40,16,18,in stock,MEM-56-B
ZCCTM-SS-L-B0,FC-CLT,123,18,105,40,16,41,in stock,CLT-59-C
ZCCTM-SS-L-B0,FC-SEA,107,8,99,40,16,35,in stock,SEA-01-F
ZCCTM-SS-L-B0,FC-DFW,83,9,74,40,16,27,in stock,DFW-60-C
ZCCTM-SS-L-B0,FC-EWR,111,14,97,40,16,37,in stock,EWR-34-F
ZCCTM-SS-L-B0,FC-RNO,59,8,51,40,16,19,in stock,RNO-09-C
ZCCTM-SS-L-B0,FC-CMH,141,0,141,40,16,47,in stock,CMH-12-D
ZCCTM-SS-L-CS,FC-MEM,198,23,175,40,16,66,in stock,MEM-26-E
ZCCTM-SS-L-CS,FC-CLT,183,0,183,40,16,61,in stock,CLT-05-A
ZCCTM-SS-L-CS,FC-SEA,50,5,45,40,16,16,in stock,SEA-41-B
ZCCTM-SS-L-CS,FC-DFW,7,0,7,40,16,2,critical,DFW-50-A
ZCCTM-SS-L-CS,FC-EWR,67,7,60,40,16,22,in stock,EWR-50-A
ZCCTM-SS-L-CS,FC-RNO,17,1,16,40,16,5,low stock,RNO-13-B
ZCCTM-SS-L-CS,FC-CMH,7,0,7,40,16,2,critical,CMH-13-A
ZCCTM-LS-L-RR,FC-MEM,357,30,327,100,40,51,in stock,MEM-29-F
ZCCTM-LS-L-RR,FC-CLT,493,12,481,100,40,70,in stock,CLT-58-D
ZCCTM-LS-L-RR,FC-SEA,304,4,300,100,40,43,in stock,SEA-58-A
ZCCTM-LS-L-RR,FC-DFW,222,22,200,100,40,31,in stock,DFW-06-A
ZCCTM-LS-L-RR,FC-EWR,0,0,0,100,40,0,critical,EWR-33-B
ZCCTM-LS-L-RR,FC-RNO,125,9,116,100,40,17,in stock,RNO-01-F
ZCCTM-LS-L-RR,FC-CMH,20,2,18,100,40,2,critical,CMH-11-D
ZCCTM-LS-L-T0,FC-MEM,40,0,40,60,24,10,low stock,MEM-57-D
ZCCTM-LS-L-T0,FC-CLT,146,11,135,60,24,36,in stock,CLT-12-E
ZCCTM-LS-L-T0,FC-SEA,71,1,70,60,24,17,in stock,SEA-57-B
ZCCTM-LS-L-T0,FC-DFW,70,8,62,60,24,17,in stock,DFW-46-A
ZCCTM-LS-L-T0,FC-EWR,258,38,220,60,24,64,in stock,EWR-56-D
